Var1,Var2
146.0509434,-43.86666667
146.0666667,-43.87253521
146.1,-43.87542373
146.1308511,-43.9
146.1333333,-43.9019943
146.1666667,-43.91077441
146.2,-43.93333333
146.2,-43.93333333
146.2333333,-43.95053763
146.2666667,-43.958
146.2816092,-43.96666667
146.3,-43.96995885
146.3333333,-43.98008658
146.3666667,-43.98215962
146.4,-43.97823129
146.4333333,-43.98428571
146.4537037,-44
146.4666667,-44.00486111
146.5,-44.00582751
146.5333333,-44.00428571
146.5581301,-44.03333333
146.5666667,-44.03819444
146.6,-44.05081967
146.6333333,-44.05087719
146.6666667,-44.03866667
146.7,-44.0394636
146.7333333,-44.03850932
146.7666667,-44.03923077
146.8,-44.03862069
146.822549,-44.03333333
146.8333333,-44.02254902
146.8565657,-44
146.8666667,-43.99186992
146.8794872,-44
146.9,-44.01300813
146.9320513,-44.03333333
146.9333333,-44.0345679
146.9567568,-44.06666667
146.966343,-44.1
146.9666667,-44.10022222
147,-44.10448718
147.0333333,-44.11075269
147.0577236,-44.1
147.0666667,-44.09083333
147.1,-44.08137255
147.1333333,-44.07362637
147.1551724,-44.06666667
147.1598039,-44.03333333
147.1666667,-44.02685185
147.1803922,-44.03333333
147.2,-44.04615385
147.2050505,-44.03333333
147.2333333,-44.00940171
147.2482993,-44
147.2666667,-43.97804878
147.3,-43.97681159
147.3213333,-44
147.3333333,-44.00405405
147.3356771,-44
147.3632184,-43.96666667
147.3666667,-43.96380952
147.3691057,-43.96666667
147.3962687,-44
147.4,-44.00344828
147.4333333,-44.00204499
147.4380952,-44
147.4666667,-43.97777778
147.5,-43.97864078
147.5274074,-43.96666667
147.5333333,-43.96099291
147.5666667,-43.94050926
147.5961905,-43.93333333
147.6,-43.93015873
147.6333333,-43.90114943
147.6359477,-43.9
147.6666667,-43.88134921
147.7,-43.87358974
147.7105882,-43.86666667
147.7333333,-43.84733333
147.7492424,-43.83333333
147.7666667,-43.80899471
147.7758065,-43.8
147.8,-43.77222222
147.804,-43.76666667
147.8333333,-43.73431373
147.833913,-43.73333333
147.85,-43.7
